Track,Bank,Length,TopQual,Cbank,Clength,Tires
Calabogie,24,1.54,197.48,4.69,0.018,A
CanadianTire,36,0.53,128.71,16.69,-0.992,A
Edenvale,14,2,187.43,-5.31,0.478,B
GrandBend,18,1.5,188.15,-1.31,-0.022,A
GreenAcres,24,1.37,173.8,4.69,-0.152,B
No31Air,31,2.5,210.36,11.69,0.978,A
HarewoodAcres,24,1,161.52,4.69,-0.522,A
OroStation,19,1.5,181.11,-0.31,-0.022,A
Shannonville,9,2.5,186.29,-10.31,0.978,B
StEugene,15,1.5,176.45,-4.31,-0.022,B
TorontoMotor,20,1.5,172.56,0.69,-0.022,A
AutodromeSaintEustache,24,1.5,186.03,4.69,-0.022,B
AutodromeStFilcien,12,0.53,95.37,-7.31,-0.992,B
CircuitGilles,18,2,194.23,-1.31,0.478,B
CircuitICAR,4.5,1.06,132.09,-14.81,-0.462,B
CircuitRiverside,23,1.02,158.04,3.69,-0.502,A
SanairSuper,10,1,134.72,-9.31,-0.522,B
Atlantic,9,2.5,172.39,-10.31,0.978,B
VancouverMotor,14,0.75,126.5,-5.31,-0.772,B
MissionRaceway,33,2.66,212.81,13.69,1.138,A
CircuitMontTremblant,24,1.5,192.14,4.69,-0.022,A
